x,y,inside,u,v,p,speed,continuity_abs
5.680190930787589743e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.944322139024734497e-05,-6.768794357776641846e-02,5.223874002695083618e-03,6.768794357776641846e-02,3.252851217985153198e-02
5.727923627684964325e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.049162819981575012e-04,-6.751365959644317627e-02,5.333784967660903931e-03,6.751374155282974243e-02,3.266893327236175537e-02
5.775656324582338907e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.900317147374153137e-04,-6.733341515064239502e-02,5.438182502985000610e-03,6.733368337154388428e-02,3.280381858348846436e-02
5.823389021479713490e-01,-5.000000000000000000e-01,1.000000000000000000e+00,2.743722870945930481e-04,-6.714744865894317627e-02,5.537200719118118286e-03,6.714800745248794556e-02,3.293386474251747131e-02
5.871121718377088072e-01,-5.000000000000000000e-01,1.000000000000000000e+00,3.581168130040168762e-04,-6.695510447025299072e-02,5.630563944578170776e-03,6.695605814456939697e-02,3.305857256054878235e-02
5.918854415274463765e-01,-5.000000000000000000e-01,1.000000000000000000e+00,4.410268738865852356e-04,-6.675769388675689697e-02,5.718622356653213501e-03,6.675914674997329712e-02,3.317710012197494507e-02
5.966587112171838347e-01,-5.000000000000000000e-01,1.000000000000000000e+00,5.233408883213996887e-04,-6.655456125736236572e-02,5.801264196634292603e-03,6.655661761760711670e-02,3.329026326537132263e-02
6.014319809069212930e-01,-5.000000000000000000e-01,1.000000000000000000e+00,6.042839959263801575e-04,-6.634624302387237549e-02,5.878392606973648071e-03,6.634899228811264038e-02,3.339724242687225342e-02
6.062052505966587512e-01,-5.000000000000000000e-01,1.000000000000000000e+00,6.840350106358528137e-04,-6.613214313983917236e-02,5.950521677732467651e-03,6.613568216562271118e-02,3.349766880273818970e-02
6.109785202863962095e-01,-5.000000000000000000e-01,1.000000000000000000e+00,7.630111649632453918e-04,-6.591273844242095947e-02,6.017249077558517456e-03,6.591714918613433838e-02,3.359270468354225159e-02
6.157517899761336677e-01,-5.000000000000000000e-01,1.000000000000000000e+00,8.409144356846809387e-04,-6.568838655948638916e-02,6.078917533159255981e-03,6.569377332925796509e-02,3.368097916245460510e-02
6.205250596658711260e-01,-5.000000000000000000e-01,1.000000000000000000e+00,9.173871949315071106e-04,-6.545893847942352295e-02,6.135363131761550903e-03,6.546536833047866821e-02,3.376265987753868103e-02
6.252983293556085842e-01,-5.000000000000000000e-01,1.000000000000000000e+00,9.931446984410285950e-04,-6.522484123706817627e-02,6.186451762914657593e-03,6.523240357637405396e-02,3.383724018931388855e-02
6.300715990453460424e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.067173667252063751e-03,-6.498529016971588135e-02,6.232779473066329956e-03,6.499405205249786377e-02,3.390583395957946777e-02
6.348448687350836117e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.139891333878040314e-03,-6.474138796329498291e-02,6.274309009313583374e-03,6.475142389535903931e-02,3.396696969866752625e-02
6.396181384248210700e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.211476512253284454e-03,-6.449265778064727783e-02,6.310630589723587036e-03,6.450403481721878052e-02,3.402046486735343933e-02
6.443914081145585282e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.281809993088245392e-03,-6.423921883106231689e-02,6.341982632875442505e-03,6.425200402736663818e-02,3.406825289130210876e-02
6.491646778042959864e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.350474543869495392e-03,-6.398119032382965088e-02,6.368588656187057495e-03,6.399544328451156616e-02,3.410834074020385742e-02
6.539379474940334447e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.417350955307483673e-03,-6.371901929378509521e-02,6.390545517206192017e-03,6.373477727174758911e-02,3.414095193147659302e-02
6.587112171837709029e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.483512111008167267e-03,-6.345273554325103760e-02,6.407823413610458374e-03,6.347007304430007935e-02,3.416634723544120789e-02
6.634844868735083612e-01,-5.000000000000000000e-01,1.000000000000000000e+00,1.547467894852161407e-03,-6.318183243274688721e-02,6.420310586690902710e-03,6.320077925920486450e-02,3.418406844139099121e-02
